,SID,NAME,SEASON,ISO_TIME,LAT,LON,WMO_WIND,WMO_PRES,DeepTCSize_R34,DeepTCSize_R50,DeepTCSize_R64,DeepTCSize_RMW,DeepTCSize_TCF
0,1980094N02179,CARMEN,1980,1980/4/5 12:00,11.65,177.783,40,994,,,,,
1,1980094N02179,CARMEN,1980,1980/4/5 18:00,13.1557,177.345,45,992,,,,,
2,1980094N02179,CARMEN,1980,1980/4/6 0:00,14.5833,177.133,45,992,,,,,
3,1980094N02179,CARMEN,1980,1980/4/6 6:00,15.9649,177.203,45,990,,,,,
4,1980094N02179,CARMEN,1980,1980/4/6 12:00,17.0167,177.733,60,985,,,,,
5,1980094N02179,CARMEN,1980,1980/4/6 18:00,17.9049,178.299,55,985,,,,,
6,1980094N02179,CARMEN,1980,1980/4/7 0:00,18.7333,179,45,990,,,,,
7,1980094N02179,CARMEN,1980,1980/4/7 6:00,19.4015,179.691,45,992,,,,,
8,1980126N08150,DOM,1980,1980/5/11 6:00,11.9232,130.402,45,994,,,,,
9,1980126N08150,DOM,1980,1980/5/11 12:00,12.3667,129.317,45,992,,,,,
10,1980126N08150,DOM,1980,1980/5/11 18:00,12.9854,128.013,50,990,,,,,
11,1980126N08150,DOM,1980,1980/5/12 0:00,13.6167,126.833,50,985,,,,,
12,1980126N08150,DOM,1980,1980/5/12 6:00,14.1787,125.875,55,980,,,,,
13,1980126N08150,DOM,1980,1980/5/12 12:00,14.85,125.033,60,975,,,,,
14,1980126N08150,DOM,1980,1980/5/12 18:00,15.4908,124.375,60,970,,,,,
15,1980126N08150,DOM,1980,1980/5/13 0:00,15.9667,123.933,70,965,,,,,
16,1980126N08150,DOM,1980,1980/5/13 6:00,16.38,123.592,70,960,,,,,
17,1980126N08150,DOM,1980,1980/5/13 12:00,16.7,123.3,85,960,,,,,
18,1980126N08150,DOM,1980,1980/5/13 18:00,17.005,123.055,85,960,,,,,
19,1980126N08150,DOM,1980,1980/5/14 0:00,17.2333,122.8,70,965,,,,,
20,1980126N08150,DOM,1980,1980/5/14 6:00,17.3429,122.653,70,965,,,,,
21,1980126N08150,DOM,1980,1980/5/14 12:00,17.5333,122.5,70,980,,,,,
22,1980126N08150,DOM,1980,1980/5/14 18:00,17.7212,122.453,60,980,,,,,
23,1980126N08150,DOM,1980,1980/5/15 0:00,18,122.433,55,985,,,,,
24,1980126N08150,DOM,1980,1980/5/15 6:00,18.2796,122.485,55,990,,,,,
25,1980126N08150,DOM,1980,1980/5/15 12:00,18.6,122.55,55,985,,,,,
26,1980126N08150,DOM,1980,1980/5/15 18:00,19.0512,122.655,50,980,,,,,
27,1980126N08150,DOM,1980,1980/5/16 0:00,19.4333,122.883,50,980,,,,,
28,1980126N08150,DOM,1980,1980/5/16 6:00,19.7596,123.304,55,975,,,,,
29,1980126N08150,DOM,1980,1980/5/16 12:00,20,123.95,55,975,,,,,
30,1980126N08150,DOM,1980,1980/5/16 18:00,20.2405,124.649,55,975,,,,,
31,1980126N08150,DOM,1980,1980/5/17 0:00,20.5833,125.367,65,980,,,,,
32,1980126N08150,DOM,1980,1980/5/17 6:00,20.8933,125.98,65,980,,,,,
33,1980126N08150,DOM,1980,1980/5/17 12:00,21.1167,126.483,60,980,,,,,
34,1980126N08150,DOM,1980,1980/5/17 18:00,21.2042,127.023,55,980,,,,,
35,1980126N08150,DOM,1980,1980/5/18 0:00,21.0833,127.383,55,980,,,,,
36,1980126N08150,DOM,1980,1980/5/18 6:00,20.8642,127.295,55,985,,,,,
37,1980133N07149,ELLEN,1980,1980/5/13 6:00,7.3309,144.24,40,996,,,,,
38,1980133N07149,ELLEN,1980,1980/5/13 12:00,7.53333,143.85,50,992,,,,,
39,1980133N07149,ELLEN,1980,1980/5/13 18:00,7.81414,143.5,50,992,,,,,
40,1980133N07149,ELLEN,1980,1980/5/14 0:00,8.11667,143.183,50,992,,,,,
41,1980133N07149,ELLEN,1980,1980/5/14 6:00,8.42128,142.728,45,992,,,,,
42,1980133N07149,ELLEN,1980,1980/5/14 12:00,8.66667,142.35,45,992,,,,,
43,1980133N07149,ELLEN,1980,1980/5/14 18:00,9.07665,142.14,45,992,,,,,
44,1980133N07149,ELLEN,1980,1980/5/15 0:00,9.51667,142.017,65,975,,,,,
45,1980133N07149,ELLEN,1980,1980/5/15 6:00,10.3904,142.02,70,970,,,,,
46,1980133N07149,ELLEN,1980,1980/5/15 12:00,11.1333,141.867,70,950,,,,,
47,1980133N07149,ELLEN,1980,1980/5/15 18:00,11.6163,141.706,90,935,,,,,
48,1980133N07149,ELLEN,1980,1980/5/16 0:00,12.1167,141.383,90,935,,,,,
49,1980133N07149,ELLEN,1980,1980/5/16 6:00,12.3537,141.278,90,940,,,,,
50,1980133N07149,ELLEN,1980,1980/5/16 12:00,12.6167,141.3,90,940,,,,,
51,1980133N07149,ELLEN,1980,1980/5/16 18:00,12.8817,141.343,90,930,,,,,
52,1980133N07149,ELLEN,1980,1980/5/17 0:00,13.3,141.267,90,935,,,,,
53,1980133N07149,ELLEN,1980,1980/5/17 6:00,13.745,141.231,90,935,,,,,
54,1980133N07149,ELLEN,1980,1980/5/17 12:00,14.4667,141.117,90,935,,,,,
55,1980133N07149,ELLEN,1980,1980/5/17 18:00,15.0237,140.846,90,935,,,,,
56,1980133N07149,ELLEN,1980,1980/5/18 0:00,15.6,140.433,90,940,,,,,
57,1980133N07149,ELLEN,1980,1980/5/18 6:00,16.2584,140.015,100,940,,,,,
58,1980133N07149,ELLEN,1980,1980/5/18 12:00,16.9167,139.367,105,940,,,,,
59,1980133N07149,ELLEN,1980,1980/5/18 18:00,17.5008,138.69,105,945,,,,,
60,1980133N07149,ELLEN,1980,1980/5/19 0:00,18.0667,138.233,95,945,,,,,
61,1980133N07149,ELLEN,1980,1980/5/19 6:00,18.9383,137.689,90,950,,,,,
62,1980133N07149,ELLEN,1980,1980/5/19 12:00,19.9667,137.2,90,955,,,,,
63,1980133N07149,ELLEN,1980,1980/5/19 18:00,21.2448,136.655,90,965,,,,,
64,1980133N07149,ELLEN,1980,1980/5/20 0:00,22.4833,135.767,75,970,,,,,
65,1980133N07149,ELLEN,1980,1980/5/20 6:00,23.8824,135.564,75,970,,,,,
66,1980133N07149,ELLEN,1980,1980/5/20 12:00,25.6167,135.617,65,975,,,,,
67,1980133N07149,ELLEN,1980,1980/5/20 18:00,27.671,135.957,60,980,,,,,
68,1980133N07149,ELLEN,1980,1980/5/21 0:00,29.7667,137.05,60,980,,,,,
69,1980133N07149,ELLEN,1980,1980/5/21 6:00,31.5921,138.924,70,980,,,,,
70,1980133N07149,ELLEN,1980,1980/5/21 12:00,33.9571,141.49,70,980,,,,,
71,1980137N04158,FORREST,1980,1980/5/20 6:00,7.5014,149.983,35,1000,,,,,
72,1980137N04158,FORREST,1980,1980/5/20 12:00,8.03333,148.283,35,1000,,,,,
73,1980137N04158,FORREST,1980,1980/5/20 18:00,8.66322,146.664,40,998,,,,,
74,1980137N04158,FORREST,1980,1980/5/21 0:00,9.25,145.017,40,996,,,,,
75,1980137N04158,FORREST,1980,1980/5/21 6:00,9.33947,143.456,45,996,,,,,
76,1980137N04158,FORREST,1980,1980/5/21 12:00,9.48333,141.933,35,996,,,,,
77,1980137N04158,FORREST,1980,1980/5/21 18:00,10.0332,140.263,35,996,,,,,
78,1980137N04158,FORREST,1980,1980/5/22 0:00,10.5,138.683,40,996,,,,,
79,1980137N04158,FORREST,1980,1980/5/22 6:00,10.693,137.474,45,996,,,,,
80,1980137N04158,FORREST,1980,1980/5/22 12:00,10.8667,135.967,45,996,,,,,
81,1980137N04158,FORREST,1980,1980/5/22 18:00,10.8297,134.118,45,994,,,,,
82,1980137N04158,FORREST,1980,1980/5/23 0:00,10.8833,132.417,50,992,,,,,
83,1980137N04158,FORREST,1980,1980/5/23 6:00,11.1776,131.002,50,992,,,,,
84,1980137N04158,FORREST,1980,1980/5/23 12:00,11.5667,129.517,45,992,,,,,
85,1980137N04158,FORREST,1980,1980/5/23 18:00,12.0675,127.937,45,992,,,,,
86,1980137N04158,FORREST,1980,1980/5/24 0:00,12.6667,126.417,50,994,,,,,
87,1980140N16116,GEORGIA,1980,1980/5/22 12:00,18.0333,114.717,45,985,,,,,
88,1980140N16116,GEORGIA,1980,1980/5/22 18:00,18.7875,114.587,45,985,,,,,
89,1980171N06142,HERBERT,1980,1980/6/24 12:00,12.881,117.776,35,998,,,,,
90,1980171N06142,HERBERT,1980,1980/6/24 18:00,13.5876,116.379,35,996,,,,,
91,1980171N06142,HERBERT,1980,1980/6/25 0:00,14.3,115.067,35,996,,,,,
92,1980171N06142,HERBERT,1980,1980/6/25 6:00,14.9359,113.937,40,996,,,,,
93,1980171N06142,HERBERT,1980,1980/6/25 12:00,15.6333,112.9,45,992,,,,,
94,1980187N09146,IDA,1980,1980/7/7 0:00,14.6167,136.45,40,998,,,,,
95,1980187N09146,IDA,1980,1980/7/7 6:00,15.6882,135.257,40,994,,,,,
96,1980187N09146,IDA,1980,1980/7/7 12:00,16.5833,133.683,40,992,,,,,
97,1980187N09146,IDA,1980,1980/7/7 18:00,17.1734,131.859,45,990,,,,,
98,1980187N09146,IDA,1980,1980/7/8 0:00,17.7333,130.1,45,990,,,,,
99,1980187N09146,IDA,1980,1980/7/8 6:00,18.2214,128.607,50,985,,,,,
100,1980187N09146,IDA,1980,1980/7/8 12:00,18.5667,127.183,55,980,,,,,
101,1980187N09146,IDA,1980,1980/7/8 18:00,18.9224,125.798,55,980,,,,,
102,1980187N09146,IDA,1980,1980/7/9 0:00,19.2833,124.417,60,980,,,,,
103,1980187N09146,IDA,1980,1980/7/9 6:00,19.7653,123.238,60,980,,,,,
104,1980187N09146,IDA,1980,1980/7/9 12:00,20.25,122.267,70,980,,,,,
105,1980187N09146,IDA,1980,1980/7/9 18:00,20.6011,121.451,70,980,,,,,
106,1980187N09146,IDA,1980,1980/7/10 0:00,20.9667,120.6,55,990,,,,,
107,1980187N09146,IDA,1980,1980/7/10 6:00,21.3441,119.744,55,990,,,,,
108,1980187N09146,IDA,1980,1980/7/10 12:00,21.7333,118.967,55,990,,,,,
109,1980187N09146,IDA,1980,1980/7/10 18:00,22.087,118.26,55,990,,,,,
110,1980187N09146,IDA,1980,1980/7/11 0:00,22.3167,117.733,55,985,,,,,
111,1980187N09146,IDA,1980,1980/7/11 6:00,22.6398,117.185,50,985,,,,,
112,1980187N09146,IDA,1980,1980/7/11 12:00,23.1619,116.714,50,985,,,,,
113,1980197N07154,JOE,1980,1980/7/18 6:00,13.8662,137.628,35,996,,,,,
114,1980197N07154,JOE,1980,1980/7/18 12:00,14.1833,136.283,40,990,,,,,
115,1980197N07154,JOE,1980,1980/7/18 18:00,14.3846,134.742,45,985,,,,,
116,1980197N07154,JOE,1980,1980/7/19 0:00,14.6333,133.183,50,980,,,,,
117,1980197N07154,JOE,1980,1980/7/19 6:00,14.9593,131.603,55,975,,,,,
118,1980197N07154,JOE,1980,1980/7/19 12:00,15.2167,130.017,70,970,,,,,
119,1980201N08155,KIM,1980,1980/7/21 18:00,10.4054,138.321,35,1000,,,,,
120,1980201N08155,KIM,1980,1980/7/22 0:00,10.8333,136.817,35,1000,,,,,
121,1980201N08155,KIM,1980,1980/7/22 6:00,11.1021,135.384,40,996,,,,,
122,1980201N08155,KIM,1980,1980/7/22 12:00,11.5,133.783,40,992,,,,,
123,1980201N08155,KIM,1980,1980/7/22 18:00,12.2678,132.233,50,990,,,,,
124,1980201N08155,KIM,1980,1980/7/23 0:00,13.0167,130.733,60,980,,,,,
125,1980201N08155,KIM,1980,1980/7/23 6:00,13.3907,129.483,65,980,,,,,
126,1980201N08155,KIM,1980,1980/7/23 12:00,13.6667,128.283,70,975,,,,,
127,1980201N08155,KIM,1980,1980/7/23 18:00,14.0283,127.137,70,965,,,,,
128,1980208N23153,LEX,1980,1980/7/29 18:00,24.7327,149.023,35,996,,,,,
129,1980208N23153,LEX,1980,1980/7/30 0:00,24.9667,149.417,45,994,,,,,
130,1980208N23153,LEX,1980,1980/7/30 6:00,25.3383,149.306,55,990,,,,,
131,1980208N23153,LEX,1980,1980/7/30 12:00,25.3833,148.967,55,985,,,,,
132,1980208N23153,LEX,1980,1980/7/30 18:00,25.417,148.691,55,980,,,,,
133,1980208N23153,LEX,1980,1980/7/31 0:00,25.2667,148.383,60,975,,,,,
134,1980208N23153,LEX,1980,1980/7/31 6:00,25.1801,147.982,65,970,,,,,
135,1980208N23153,LEX,1980,1980/7/31 12:00,24.9833,147.4,65,970,,,,,
136,1980208N23153,LEX,1980,1980/7/31 18:00,24.7274,147.189,65,970,,,,,
137,1980208N23153,LEX,1980,1980/8/1 0:00,24.5,146.617,65,970,,,,,
138,1980208N23153,LEX,1980,1980/8/1 6:00,24.2083,146.141,70,965,,,,,
139,1980208N23153,LEX,1980,1980/8/1 12:00,23.9833,145.55,70,965,,,,,
140,1980208N23153,LEX,1980,1980/8/1 18:00,23.7576,144.996,70,965,,,,,
141,1980208N23153,LEX,1980,1980/8/2 0:00,23.5667,144.55,70,965,,,,,
142,1980208N23153,LEX,1980,1980/8/2 6:00,23.8395,144.454,70,965,,,,,
143,1980208N23153,LEX,1980,1980/8/2 12:00,24.3667,144.467,75,965,,,,,
144,1980208N23153,LEX,1980,1980/8/2 18:00,25.0938,144.425,70,965,,,,,
145,1980208N23153,LEX,1980,1980/8/3 0:00,25.4833,144.35,70,960,,,,,
146,1980208N23153,LEX,1980,1980/8/3 6:00,26.1654,144.398,70,960,,,,,
147,1980208N23153,LEX,1980,1980/8/3 12:00,26.8,144.383,70,965,,,,,
148,1980208N23153,LEX,1980,1980/8/3 18:00,27.3929,144.384,70,965,,,,,
149,1980208N23153,LEX,1980,1980/8/4 0:00,27.9333,144.533,65,970,,,,,
150,1980208N23153,LEX,1980,1980/8/4 6:00,28.5762,144.72,65,970,,,,,
151,1980208N23153,LEX,1980,1980/8/4 12:00,29.1833,145.067,65,970,,,,,
152,1980208N23153,LEX,1980,1980/8/4 18:00,29.6896,145.555,65,970,,,,,
153,1980208N23153,LEX,1980,1980/8/5 0:00,30.1333,146.217,65,975,,,,,
154,1980208N23153,LEX,1980,1980/8/5 6:00,30.5487,146.971,55,980,,,,,
155,1980208N23153,LEX,1980,1980/8/5 12:00,31.0167,147.8,55,980,,,,,
156,1980208N23153,LEX,1980,1980/8/5 18:00,31.521,148.516,55,980,,,,,
157,1980208N23153,LEX,1980,1980/8/6 0:00,32.0833,149.267,55,980,,,,,
158,1980208N23153,LEX,1980,1980/8/6 6:00,32.6185,150.15,55,980,,,,,
159,1980208N23153,LEX,1980,1980/8/6 12:00,33.2333,151.433,55,980,,,,,
160,1980208N23153,LEX,1980,1980/8/6 18:00,33.8813,152.896,45,985,,,,,
161,1980208N23153,LEX,1980,1980/8/7 0:00,34.7048,154.286,45,985,,,,,
162,1980208N23153,LEX,1980,1980/8/7 6:00,35.8667,155.347,45,985,,,,,
163,1980208N23153,LEX,1980,1980/8/7 12:00,37.1,156.1,45,985,,,,,
164,1980208N23153,LEX,1980,1980/8/7 18:00,38.4,156.267,45,985,,,,,
165,1980208N23153,LEX,1980,1980/8/8 0:00,39.8,156.2,45,985,,,,,
166,1980208N23153,LEX,1980,1980/8/8 6:00,41.0727,156.182,45,985,,,,,
167,1980208N23153,LEX,1980,1980/8/8 12:00,42.0889,156.267,45,990,,,,,
168,1980219N15165,MARGE,1980,1980/8/8 6:00,14.241,157.532,35,998,,,,,
169,1980219N15165,MARGE,1980,1980/8/8 12:00,14.1739,157.048,35,996,,,,,
170,1980219N15165,MARGE,1980,1980/8/8 18:00,14.3025,156.517,40,994,,,,,
171,1980219N15165,MARGE,1980,1980/8/9 0:00,14.6333,156.167,40,992,,,,,
172,1980219N15165,MARGE,1980,1980/8/9 6:00,15.455,156.064,40,992,,,,,
173,1980219N15165,MARGE,1980,1980/8/9 12:00,16.3333,155.717,45,985,,,,,
174,1980219N15165,MARGE,1980,1980/8/9 18:00,17.2767,155.12,50,975,,,,,
175,1980219N15165,MARGE,1980,1980/8/10 0:00,18.45,155.05,65,970,,,,,
176,1980219N15165,MARGE,1980,1980/8/10 6:00,19.8829,155.053,90,955,,,,,
177,1980219N15165,MARGE,1980,1980/8/10 12:00,21.3333,155.083,90,945,,,,,
178,1980219N15165,MARGE,1980,1980/8/10 18:00,22.7562,155.245,90,945,,,,,
179,1980219N15165,MARGE,1980,1980/8/11 0:00,24.0833,155.467,90,945,,,,,
180,1980219N15165,MARGE,1980,1980/8/11 6:00,25.3792,155.622,90,945,,,,,
181,1980219N15165,MARGE,1980,1980/8/11 12:00,26.6333,155.833,90,945,,,,,
182,1980219N15165,MARGE,1980,1980/8/11 18:00,27.5946,155.904,90,950,,,,,
183,1980219N15165,MARGE,1980,1980/8/12 0:00,28.4833,155.917,85,955,,,,,
184,1980219N15165,MARGE,1980,1980/8/12 6:00,29.0825,155.956,80,960,,,,,
185,1980219N15165,MARGE,1980,1980/8/12 12:00,29.8167,155.967,80,960,,,,,
186,1980219N15165,MARGE,1980,1980/8/12 18:00,30.3908,156.028,70,965,,,,,
187,1980219N15165,MARGE,1980,1980/8/13 0:00,30.9833,156.083,70,975,,,,,
188,1980219N15165,MARGE,1980,1980/8/13 6:00,31.4632,156.205,70,975,,,,,
189,1980219N15165,MARGE,1980,1980/8/13 12:00,32.0333,156.5,65,975,,,,,
190,1980219N15165,MARGE,1980,1980/8/13 18:00,32.5729,157.125,60,975,,,,,
191,1980219N15165,MARGE,1980,1980/8/14 0:00,32.8833,158.167,60,975,,,,,
192,1980219N15165,MARGE,1980,1980/8/14 6:00,33.0717,159.465,60,975,,,,,
193,1980219N15165,MARGE,1980,1980/8/14 12:00,33.2333,160.783,60,975,,,,,
194,1980219N15165,MARGE,1980,1980/8/14 18:00,33.3596,162.115,55,975,,,,,
195,1980219N15165,MARGE,1980,1980/8/15 0:00,33.5167,163.5,45,980,,,,,
196,1980219N15165,MARGE,1980,1980/8/15 6:00,33.9359,165.158,45,980,,,,,
197,1980219N15165,MARGE,1980,1980/8/15 12:00,34.69,167.26,45,985,,,,,
198,1980219N15165,MARGE,1980,1980/8/15 18:00,36.2667,170.033,45,990,,,,,
199,1980236N15144,NORRIS,1980,1980/8/25 6:00,18.756,133.431,35,994,,,,,
200,1980236N15144,NORRIS,1980,1980/8/25 12:00,19.2167,132.15,40,990,,,,,
201,1980236N15144,NORRIS,1980,1980/8/25 18:00,19.6889,130.939,40,990,,,,,
202,1980236N15144,NORRIS,1980,1980/8/26 0:00,20.1333,129.8,45,985,,,,,
203,1980236N15144,NORRIS,1980,1980/8/26 6:00,20.7162,128.559,55,985,,,,,
204,1980236N15144,NORRIS,1980,1980/8/26 12:00,21.4667,127.3,60,980,,,,,
205,1980246N05151,ORCHID,1980,1980/9/7 0:00,18,142.767,40,994,,,,,
206,1980246N05151,ORCHID,1980,1980/9/7 6:00,18.7207,141.669,45,992,,,,,
207,1980246N05151,ORCHID,1980,1980/9/7 12:00,19.15,140.317,45,990,,,,,
208,1980246N05151,ORCHID,1980,1980/9/7 18:00,19.5237,139.251,55,985,,,,,
209,1980246N05151,ORCHID,1980,1980/9/8 0:00,20.1333,138.367,55,985,,,,,
210,1980246N05151,ORCHID,1980,1980/9/8 6:00,20.8128,137.507,60,980,,,,,
211,1980246N05151,ORCHID,1980,1980/9/8 12:00,21.55,136.55,60,975,,,,,
212,1980246N05151,ORCHID,1980,1980/9/8 18:00,22.229,135.426,60,970,,,,,
213,1980246N05151,ORCHID,1980,1980/9/9 0:00,22.8,134.333,60,970,,,,,
214,1980246N05151,ORCHID,1980,1980/9/9 6:00,23.2927,133.201,60,970,,,,,
215,1980246N05151,ORCHID,1980,1980/9/9 12:00,23.4667,132.35,65,970,,,,,
216,1980246N05151,ORCHID,1980,1980/9/9 18:00,24.9365,131.452,65,965,,,,,
217,1980256N10154,SPERRY,1980,1980/9/15 6:00,20.599,145.899,40,994,,,,,
218,1980256N10154,SPERRY,1980,1980/9/15 12:00,21.1333,144.333,45,992,,,,,
219,1980256N10154,SPERRY,1980,1980/9/15 18:00,21.6866,142.577,45,992,,,,,
220,1980256N10154,SPERRY,1980,1980/9/16 0:00,22.2333,141.1,45,992,,,,,
221,1980256N10154,SPERRY,1980,1980/9/16 6:00,22.8624,139.625,45,992,,,,,
222,1980256N10154,SPERRY,1980,1980/9/16 12:00,23.6,138.3,45,992,,,,,
223,1980256N10154,SPERRY,1980,1980/9/16 18:00,24.6266,137.111,50,990,,,,,
224,1980256N10154,SPERRY,1980,1980/9/17 0:00,25.7,136.4,50,990,,,,,
225,1980256N10154,SPERRY,1980,1980/9/17 6:00,27.0784,136.023,55,990,,,,,
226,1980256N10154,SPERRY,1980,1980/9/17 12:00,28.3667,136.133,55,990,,,,,
227,1980256N10154,SPERRY,1980,1980/9/17 18:00,29.5096,136.736,55,990,,,,,
228,1980256N10154,SPERRY,1980,1980/9/18 0:00,30.2333,137.65,55,990,,,,,
229,1980256N10154,SPERRY,1980,1980/9/18 6:00,30.752,138.69,60,990,,,,,
230,1980256N10154,SPERRY,1980,1980/9/18 12:00,30.9667,139.933,60,980,,,,,
231,1980256N10154,SPERRY,1980,1980/9/18 18:00,31.1491,141.215,60,975,,,,,
232,1980256N10154,SPERRY,1980,1980/9/19 0:00,31.2667,142.383,65,975,,,,,
233,1980256N10154,SPERRY,1980,1980/9/19 6:00,31.3278,143.547,65,975,,,,,
234,1980256N10154,SPERRY,1980,1980/9/19 12:00,31.2333,144.733,65,975,,,,,
235,1980256N10154,SPERRY,1980,1980/9/19 18:00,30.9924,145.793,60,980,,,,,
236,1980256N10154,SPERRY,1980,1980/9/20 0:00,30.713,146.717,40,985,,,,,
237,1980256N10154,SPERRY,1980,1980/9/20 6:00,30.6252,147.551,40,985,,,,,
238,1980256N10154,SPERRY,1980,1980/9/20 12:00,31.06,148.2,45,990,,,,,
239,1980256N10154,SPERRY,1980,1980/9/20 18:00,31.5823,148.816,45,994,,,,,
240,1980256N10154,SPERRY,1980,1980/9/21 0:00,32.18,149.34,35,996,,,,,
241,1980256N10154,SPERRY,1980,1980/9/21 6:00,32.6988,149.791,35,998,,,,,
242,1980257N17133,PERCY,1980,1980/9/14 0:00,17.8333,131.567,40,996,,,,,
243,1980257N17133,PERCY,1980,1980/9/14 6:00,18.4421,131.016,45,992,,,,,
244,1980257N17133,PERCY,1980,1980/9/14 12:00,18.7,129.967,45,992,,,,,
245,1980257N17133,PERCY,1980,1980/9/14 18:00,18.8688,128.991,45,990,,,,,
246,1980257N17133,PERCY,1980,1980/9/15 0:00,19.1,128.2,50,990,,,,,
247,1980257N17133,PERCY,1980,1980/9/15 6:00,19.0992,127.345,50,985,,,,,
248,1980257N17133,PERCY,1980,1980/9/15 12:00,18.7833,126.833,50,985,,,,,
249,1980257N17133,PERCY,1980,1980/9/15 18:00,18.5849,126.64,55,980,,,,,
250,1980257N17133,PERCY,1980,1980/9/16 0:00,18.7167,126.5,55,975,,,,,
251,1980257N17133,PERCY,1980,1980/9/16 6:00,19.0533,126.096,70,970,,,,,
252,1980257N17133,PERCY,1980,1980/9/16 12:00,19.45,125.833,70,970,,,,,
253,1980257N17133,PERCY,1980,1980/9/16 18:00,19.8321,125.262,70,965,,,,,
254,1980257N17133,PERCY,1980,1980/9/17 0:00,19.95,124.733,70,950,,,,,
255,1980257N17133,PERCY,1980,1980/9/17 6:00,20.3912,124.027,90,945,,,,,
256,1980257N17133,PERCY,1980,1980/9/17 12:00,20.7167,123.117,90,915,,,,,
257,1980257N17133,PERCY,1980,1980/9/17 18:00,21.2223,122.196,100,915,,,,,
258,1980257N17133,PERCY,1980,1980/9/18 0:00,21.85,121.1,100,920,,,,,
259,1980257N17133,PERCY,1980,1980/9/18 6:00,22.4131,119.596,90,940,,,,,
260,1980257N17133,PERCY,1980,1980/9/18 12:00,22.8167,118.65,80,960,,,,,
261,1980257N17133,PERCY,1980,1980/9/18 18:00,23.4236,117.799,55,980,,,,,
262,1980269N15147,THELMA,1980,1980/9/27 18:00,21.0748,142.417,45,992,,,,,
263,1980269N15147,THELMA,1980,1980/9/28 0:00,21.7348,142.135,45,992,,,,,
264,1980269N15147,THELMA,1980,1980/9/28 6:00,22.9758,142.176,40,990,,,,,
265,1980269N15147,THELMA,1980,1980/9/28 12:00,24.4,142.55,40,990,,,,,
266,1980269N15147,THELMA,1980,1980/9/28 18:00,25.7775,142.927,45,985,,,,,
267,1980269N15147,THELMA,1980,1980/9/29 0:00,26.7833,143.333,45,985,,,,,
268,1980269N15147,THELMA,1980,1980/9/29 6:00,27.8588,143.861,55,980,,,,,
269,1980269N15147,THELMA,1980,1980/9/29 12:00,29.2667,144.583,55,980,,,,,
270,1980269N15147,THELMA,1980,1980/9/29 18:00,30.8257,145.742,55,980,,,,,
271,1980269N15147,THELMA,1980,1980/9/30 0:00,32.7304,147.683,55,980,,,,,
272,1980269N15147,THELMA,1980,1980/9/30 6:00,35.9432,150.861,50,975,,,,,
273,1980270N13165,VERNON,1980,1980/9/28 18:00,14.3641,156.085,40,994,,,,,
274,1980270N13165,VERNON,1980,1980/9/29 0:00,15,155.683,45,990,,,,,
275,1980270N13165,VERNON,1980,1980/9/29 6:00,15.6783,155.454,55,985,,,,,
276,1980270N13165,VERNON,1980,1980/9/29 12:00,16.45,155.167,55,980,,,,,
277,1980270N13165,VERNON,1980,1980/9/29 18:00,17.1924,154.819,55,975,,,,,
278,1980270N13165,VERNON,1980,1980/9/30 0:00,18.0333,154.467,65,970,,,,,
279,1980270N13165,VERNON,1980,1980/9/30 6:00,19.0067,153.925,65,965,,,,,
280,1980270N13165,VERNON,1980,1980/9/30 12:00,20.0167,153.067,70,960,,,,,
281,1980270N13165,VERNON,1980,1980/9/30 18:00,21.5308,152.268,70,950,,,,,
282,1980270N13165,VERNON,1980,1980/10/1 0:00,22.3333,151.717,70,950,,,,,
283,1980270N13165,VERNON,1980,1980/10/1 6:00,23.4074,151.026,90,940,,,,,
284,1980270N13165,VERNON,1980,1980/10/1 12:00,24.6,150.183,90,940,,,,,
285,1980270N13165,VERNON,1980,1980/10/1 18:00,25.5859,149.224,95,935,,,,,
286,1980270N13165,VERNON,1980,1980/10/2 0:00,26.4333,148.667,90,940,,,,,
287,1980270N13165,VERNON,1980,1980/10/2 6:00,27.3207,148.426,90,940,,,,,
288,1980270N13165,VERNON,1980,1980/10/2 12:00,28.4333,148.567,90,940,,,,,
289,1980270N13165,VERNON,1980,1980/10/2 18:00,29.7973,148.883,90,940,,,,,
290,1980270N13165,VERNON,1980,1980/10/3 0:00,31.2333,149.65,90,940,,,,,
291,1980270N13165,VERNON,1980,1980/10/3 6:00,33.2034,151.423,80,950,,,,,
292,1980270N13165,VERNON,1980,1980/10/3 12:00,35.6429,154.329,65,960,,,,,
293,1980277N09157,WYNNE,1980,1980/10/3 18:00,6.11205,152.982,45,990,,,,,
294,1980277N09157,WYNNE,1980,1980/10/4 0:00,5.98333,152.2,50,985,,,,,
295,1980277N09157,WYNNE,1980,1980/10/4 6:00,6.18464,151.216,55,980,,,,,
296,1980277N09157,WYNNE,1980,1980/10/4 12:00,6.68333,150.383,50,990,,,,,
297,1980277N09157,WYNNE,1980,1980/10/4 18:00,7.32785,149.757,50,994,,,,,
298,1980277N09157,WYNNE,1980,1980/10/5 0:00,7.98333,149.433,45,996,,,,,
299,1980277N09157,WYNNE,1980,1980/10/5 6:00,8.84248,149.002,45,996,,,,,
300,1980277N09157,WYNNE,1980,1980/10/5 12:00,9.53333,148.15,45,998,,,,,
301,1980277N09157,WYNNE,1980,1980/10/5 18:00,10.5213,147.2,40,1000,,,,,
302,1980277N09157,WYNNE,1980,1980/10/6 0:00,11.6833,146.683,45,1000,,,,,
